title,description,url
É #FAKE que vacina contra Covid-19 libere fibrinas e cause riscos para o resto da vida,Vídeo viral tem alegações falsas sobre efeito das vacinas no organismo. Médicos e Anvisa desmentem afirmações sem comprovação científica.,https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2021/11/13/e-fake-que-vacina-contra-covid-19-libere-fibrinas-e-cause-riscos-para-o-resto-da-vida.ghtml
É #FAKE que Itália revisou óbitos por Covid e descobriu que 97% das mortes não foram causadas pelo vírus,"Boato praticamente igual já foi desmentido pelo Fato ou Fake há um ano e meio. Mensagem distorce números do Instituto Superior de Saúde do país. Percentual se refere a pessoas que tinham doenças pré-existentes, mas que morreram, sim, por causa do coronavírus.",https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2021/11/12/e-fake-que-italia-revisou-obitos-por-covid-e-descobriu-que-97percent-das-mortes-nao-foram-causadas-pelo-virus.ghtml
É #FAKE foto que mostra estande de vacinação nos EUA com faixa pedindo aos pais que doem órgãos dos filhos,Imagem original tem faixa com a expressão em espanhol lembrando que o local de vacinação não exige agendamento prévio. Foto foi manipulada digitalmente e passou a ser usada por grupos antivacina.,https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2021/11/11/e-fake-foto-que-mostra-estande-de-vacinacao-nos-eua-com-faixa-pedindo-aos-pais-que-doem-orgaos-dos-filhos.ghtml
É #FAKE mensagem que relaciona vacina contra Covid-19 a nascimento de criança com cauda no CE,"Grupos antivacina no Telegram aproveitam viralização do caso para propagar teoria sem fundamento. Caso no Ceará ocorreu em 2020, antes do início da vacinação no Brasil e, portanto, não tem como ter qualquer relação com a vacina.",https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2021/11/11/e-fake-mensagem-que-relaciona-vacina-contra-covid-19-a-nascimento-de-crianca-com-cauda-no-ce.ghtml
É #FAKE que vídeo mostre China soltando milhares de pássaros criados em laboratório para disseminar vírus,"Imagens são antigas, de 2017, e foram feitas em Taiwan durante um treinamento para uma corrida de pombos, popular na região.",https://g1.globo.com/fato-ou-fake/noticia/2021/11/09/e-fake-que-video-mostre-china-soltando-milhares-de-passaros-criados-em-laboratorio-para-disseminar-virus.ghtml
É #FAKE mensagem que relaciona queda de avião de Marília Mendonça a mal súbito do piloto por vacina,Filha do piloto afirma que ele havia sido imunizado meses atrás e não teve qualquer problema. Consultor da Sociedade Brasileira de Infectologia e mestre em imunologia pela USP deixam claro que a relação alegada na mensagem falsa não existe.,https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2021/11/07/e-fake-mensagem-que-relaciona-queda-de-aviao-de-marilia-mendonca-a-mal-subito-do-piloto-por-vacina.ghtml
É #FAKE que Pfizer registrou patente para rastrear pessoas vacinadas,"Pfizer nega teor da mensagem falsa e reforça que não possui nenhum componente que faça o rastreamento dos vacinados. Patente foi feita por israelenses e projeto não envolve a farmacêutica. Além disso, ideia não é criar um dispositivo a ser implantado nas pessoas sem consentimento.",https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2021/11/05/e-fake-que-pfizer-registrou-patente-para-rastrear-pessoas-vacinadas.ghtml
É #FAKE que vídeo mostre crianças mortas após tomar vacina contra Covid na África do Sul,"Imagens mostram, na verdade, crianças vítimas de acidente em escola no Quênia, em fevereiro de 2020, bem antes do início da vacinação no mundo. Grupos antivacina, porém, têm usado a imagem para espalhar mensagem falsa contra os imunizantes.",https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2021/11/04/e-fake-que-video-mostre-criancas-mortas-apos-tomar-vacina-contra-covid-na-africa-do-sul.ghtml
É #FAKE que vídeo mostre comissárias tirando a roupa para protestar contra obrigatoriedade de vacinas,"Protesto das ex-trabalhadoras da Alitalia foi feito, na verdade, contra a perda de empregos e cortes de salários sob a nova companhia aérea ITA.",https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2021/11/03/e-fake-que-video-mostre-comissarias-tirando-a-roupa-para-protestar-contra-obrigatoriedade-de-vacinas.ghtml
É #FAKE vídeo que fala em aumento de infartos em Israel em razão da vacinação contra Covid,Ministério da Saúde de Israel nega boato: 'Fake news'. Motos e desfibriladores mostrados nas imagens já são utilizados há tempos - muito antes do início da vacinação no país.,https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2021/11/03/e-fake-video-que-fala-em-aumento-de-infartos-em-israel-em-razao-da-vacinacao-contra-covid.ghtml
